symbol,总天数,持有_收益,无ML_T净贡献,无ML_总收益,无ML_交易天,无ML_夏普,ML_T净贡献,ML_总收益,ML_交易天,ML_夏普
601899,40,-18350.0,-7240.0,-25590.0,9,-2.46,-7008.0,-25358.0,12,-2.43
601901,40,-350.0,323.0,-27.0,5,-0.03,396.0,46.0,2,0.05
601916,40,200.0,50.0,250.0,0,1.11,50.0,250.0,0,1.11
601919,40,-1200.0,-1606.0,-2806.0,6,-1.36,-1723.0,-2923.0,6,-1.42
601939,40,2500.0,4140.0,6640.0,17,4.6,4144.0,6644.0,12,4.62
601985,40,550.0,1696.0,2246.0,10,1.51,1411.0,1961.0,4,1.4
601988,40,200.0,1347.0,1547.0,7,1.94,1318.0,1518.0,6,1.91
601995,40,5250.0,-6765.0,-1515.0,4,-0.37,-6650.0,-1400.0,0,-0.35
601998,40,-4150.0,984.0,-3166.0,8,-3.31,710.0,-3440.0,6,-3.59
603019,40,28026.0,-88904.0,-60878.0,26,-1.53,-96948.0,-68922.0,19,-1.72
603195,40,2550.0,-11239.0,-8689.0,9,-1.02,-10052.0,-7502.0,8,-0.92
603259,40,7492.0,-64745.0,-57253.0,19,-2.0,-66145.0,-58653.0,17,-2.01
603260,40,-16700.0,36270.0,19570.0,18,1.27,37111.0,20411.0,15,1.33
603288,40,-28100.0,1135.0,-26965.0,9,-4.76,3799.0,-24301.0,10,-4.57
603296,40,172700.0,-160390.0,12310.0,26,0.25,-165553.0,7147.0,24,0.14
603369,40,15750.0,21669.0,37419.0,20,4.5,20271.0,36021.0,7,4.34
603392,40,-17950.0,-3211.0,-21161.0,11,-1.61,-3746.0,-21696.0,12,-1.62
603501,40,-23050.0,-23436.0,-46486.0,28,-1.29,-25701.0,-48751.0,18,-1.34
603799,40,-29532.0,-5600.0,-35132.0,19,-1.43,34.0,-29498.0,21,-1.25
603893,40,122400.0,-27621.0,94779.0,16,1.25,-22615.0,99785.0,15,1.31
603986,40,1091819.0,-552570.0,539249.0,26,2.8,-552252.0,539567.0,21,2.81
603993,40,3873.0,-4843.0,-970.0,21,-0.12,-4754.0,-881.0,23,-0.11
605117,40,110664.0,5688.0,116352.0,31,2.34,2526.0,113190.0,29,2.28
605499,40,-27394.0,40984.0,13590.0,10,0.3,44063.0,16670.0,10,0.37
688008,40,511500.0,-546368.0,-34868.0,19,-0.27,-529780.0,-18280.0,20,-0.14
688009,40,-4150.0,-495.0,-4645.0,4,-5.36,-539.0,-4689.0,10,-5.14
688012,40,311025.0,-72823.0,238201.0,20,1.68,-67439.0,243585.0,19,1.71
688036,40,34546.0,6584.0,41130.0,32,2.03,5385.0,39931.0,24,2.06
688041,40,291300.0,-441662.0,-150362.0,16,-0.92,-440391.0,-149091.0,16,-0.91
688047,40,53650.0,-259913.0,-206263.0,21,-2.94,-264299.0,-210649.0,8,-3.02
688082,40,345750.0,-3704.0,342046.0,25,2.88,-28510.0,317240.0,23,2.68
688111,40,90500.0,-180463.0,-89963.0,8,-1.07,-179627.0,-89127.0,6,-1.07
688126,40,43200.0,5636.0,48836.0,32,2.34,4094.0,47294.0,25,2.28
688169,40,-66600.0,-60918.0,-127518.0,15,-2.53,-62388.0,-128988.0,8,-2.58
688187,40,25500.0,12209.0,37709.0,23,0.99,339.0,25839.0,20,0.75
688223,40,-4300.0,772.0,-3528.0,22,-0.98,1810.0,-2490.0,29,-0.73
688256,40,2810176.0,-174258.0,2635918.0,11,4.23,-171749.0,2638427.0,11,4.24
688271,40,20250.0,31497.0,51747.0,16,1.43,23475.0,43725.0,7,1.26
688303,40,-8100.0,6189.0,-1911.0,15,-0.22,10534.0,2434.0,21,0.31
688396,40,100100.0,16422.0,116522.0,35,3.5,15213.0,115313.0,26,3.47
688472,40,-550.0,-1707.0,-2257.0,26,-0.4,-3511.0,-4061.0,21,-0.71
688506,40,-327050.0,15788.0,-311262.0,4,-2.35,17046.0,-310004.0,3,-2.34
688981,40,180200.0,-22154.0,158046.0,28,2.21,-23625.0,156575.0,21,2.22
